feature_id,feature_name,aliases,description
3017,CXCL10,"['C7', 'CXCL10', 'IFI10', 'INP10', 'IP-10', 'SCYB10', 'crg-2', 'gIP-10', 'mob-1']",
3043,IRF4,"['IRF4', 'LSIRF', 'MUM1', 'NF-EM5', 'SHEP8']",
3083,ITPKB,"['IP3-3KB', 'IP3K', 'IP3K-B', 'IP3KB', 'ITPKB', 'PIG37']",
3090,JAK1,"['AIIDE', 'JAK1', 'JAK1A', 'JAK1B', 'JTK3']",
3091,JAK3,"['JAK-3', 'JAK3', 'JAK3_HUMAN', 'JAKL', 'L-JAK', 'LJAK']",
3094,JUN,"['AP-1', 'AP1', 'JUN', 'c-Jun', 'cJUN', 'p39']",
3153,KDR,"['CD309', 'FLK1', 'KDR', 'VEGFR', 'VEGFR2']",
3157,KIF3C,['KIF3C'],
3215,KRT18,"['CK-18', 'CYK18', 'K18', 'KRT18']",
3236,LAG3,"['CD223', 'LAG3']",
3255,STMN1,"['C1orf215', 'LAP18', 'Lag', 'OP18', 'PP17', 'PP19', 'PR22', 'SMN', 'STMN1']",
3274,LEPR,"['CD295', 'LEP-R', 'LEPR', 'LEPRD', 'OB-R', 'OBR']",
3277,LGALS1,"['GAL1', 'GBP', 'LGALS1']",
3342,LTB,"['LTB', 'TNFC', 'TNFSF3', 'TNLG1C', 'p33']",
3349,LTF,"['GIG12', 'HEL110', 'HLF2', 'LF', 'LTF']",
3359,LYN,"['JTK8', 'LYN', 'SAIDV', 'p53Lyn', 'p56Lyn']",
3362,TACSTD2,"['EGP-1', 'EGP1', 'GA733-1', 'GA7331', 'GP50', 'M1S1', 'TACSTD2', 'TROP2']",
3364,EPCAM,"['Ber-Ep4', 'BerEp4', 'DIAR5', 'EGP-2', 'EGP314', 'EGP40', 'EPCAM', 'ESA', 'HNPCC8', 'KS1/4', 'KSA', 'LYNCH8', 'M4S1', 'MIC18', 'MK-1', 'MOC-31', 'TACSTD1', 'TROP1']",
3375,SMAD2,"['CHTD8', 'JV18', 'JV18-1', 'LDS6', 'MADH2', 'MADR2', 'SMAD2', 'hMAD-2', 'hSMAD2']",
3376,SMAD3,"['HSPC193', 'HsT17436', 'JV15-2', 'LDS1C', 'LDS3', 'MADH3', 'SMAD3', 'hMAD-3', 'hSMAD3', 'mad3']",
3389,MAGEA4,"['CT1.4', 'MAGE-41', 'MAGE-X2', 'MAGE4', 'MAGE4A', 'MAGE4B', 'MAGEA4']",
3408,MAN2A1,"['AMan II', 'GOLIM7', 'MAN2A1', 'MANA2', 'MANII']",
3448,MCL1,"['BCL2L3', 'EAT', 'MCL1', 'MCL1-ES', 'MCL1L', 'MCL1S', 'Mcl-1', 'TM', 'bcl2-L-3', 'mcl1/EAT']",
3465,MDM2,"['ACTFS', 'HDMX', 'LSKB', 'MDM2', 'hdm2']",
